bun run src/indexer/classes/RpcEndpointCache.tabletest.ts

Provider Delegations Data:
==========================
Provider	Delegator	Amount	Timestamp	Is From Empty Provider
lava@10h0ly2066gdnlq508ekq42auwt6rmvc0n5xpj4	lava@1sj94fnaesp6f442dppt5cdrnz3ngv5u3vrn0qm	1776400 <ulava>	1729029408	false
lava@10t3n8xz3rr88u9y4fxpqyswutt5w6kdxv34j40	lava@10t3n8xz3rr88u9y4fxpqyswutt5w6kdxv34j40	147757500001 <ulava>	1729029408	false
lava@10t3n8xz3rr88u9y4fxpqyswutt5w6kdxv34j40	lava@1sj94fnaesp6f442dppt5cdrnz3ngv5u3vrn0qm	2998400 <ulava>	1729029408	false
lava@10x6yyg0nhv9lqhl0hvmmnmvayp388zue09k7rt	lava@10x6yyg0nhv9lqhl0hvmmnmvayp388zue09k7rt	500000000000 <ulava>	1729029408	true
lava@10z2xdduvs23hwl6368m37hk7raprz75vacajhf	lava@10z2xdduvs23hwl6368m37hk7raprz75vacajhf	198364676729 <ulava>	1729029408	true
lava@10z2xdduvs23hwl6368m37hk7raprz75vacajhf	lava@1sj94fnaesp6f442dppt5cdrnz3ngv5u3vrn0qm	996801 <ulava>	1729029408	false
lava@1233pvz654h8mgw34aksnrwgwvfpw8856zmvw2c	lava@1233pvz654h8mgw34aksnrwgwvfpw8856zmvw2c	99000990000 <ulava>	1729029408	true
lava@123n20jr7qu0lqfksjddzhzdnzvmk6q36vdsvra	lava@123n20jr7qu0lqfksjddzhzdnzvmk6q36vdsvra	100000000000 <ulava>	1729029408	true
lava@125xzjslh36v5g76cypzslplqm64mhzz03mwnec	lava@125xzjslh36v5g76cypzslplqm64mhzz03mwnec	568543741689 <ulava>	1729029408	true
lava@125xzjslh36v5g76cypzslplqm64mhzz03mwnec	lava@15wc70tdxaszsd6ecslfh40qv36a93wg6tyedch	199987 <ulava>	1729029408	true
lava@125xzjslh36v5g76cypzslplqm64mhzz03mwnec	lava@1wzgrn2puav465t3x0stnx24hxt7f3tzlumq79h	1000000 <ulava>	1729029408	false
lava@127366u0h8vvyayc9qr8fggypqtghlykfuepyvn	lava@127366u0h8vvyayc9qr8fggypqtghlykfuepyvn	50000000000 <ulava>	1729029408	false
lava@12hea3e5jk9yu28087udutfnyej5rc7gqkltm02	lava@12hea3e5jk9yu28087udutfnyej5rc7gqkltm02	766075317979 <ulava>	1729029408	false
lava@12hqa2uzleslw74cs5mqzrp68yannmchktcr20t	lava@12hqa2uzleslw74cs5mqzrp68yannmchktcr20t	50238818628 <ulava>	1729029408	false
lava@12nsvmz8jy6t9ll0fm5fknj35jxuc9cwduf6mmk	lava@12nsvmz8jy6t9ll0fm5fknj35jxuc9cwduf6mmk	2000000000 <ulava>	1729029408	true
lava@12s54fhrgrt823sklphmty5734wv0rp48h5gtqk	lava@12s54fhrgrt823sklphmty5734wv0rp48h5gtqk	250000000000 <ulava>	1729029408	true
lava@12t2scc224j7j4kxlxueaq4yfm8y0mrn59y65xm	lava@12t2scc224j7j4kxlxueaq4yfm8y0mrn59y65xm	95099004995 <ulava>	1729029408	false
lava@12u7758lehfmmhmhcuzmaq8vp2zrgasvx7r9x76	lava@12u7758lehfmmhmhcuzmaq8vp2zrgasvx7r9x76	1970100000008 <ulava>	1729029408	false
lava@12u7dam8tyedr82ntwe6zz5e34n6vhr3kjlanaf	lava@12u7dam8tyedr82ntwe6zz5e34n6vhr3kjlanaf	25695943267586 <ulava>	1729029408	false
lava@12u7dam8tyedr82ntwe6zz5e34n6vhr3kjlanaf	lava@1qkglt3yhqpjqd09gar5u569yr6p8k5umw8funk	1000000 <ulava>	1729029408	false
lava@12y90f92jlylw8fnn2wt5q3384hzcwl7qt65ha2	lava@12y90f92jlylw8fnn2wt5q3384hzcwl7qt65ha2	200000000000 <ulava>	1729029408	true
lava@12yevt5a2cdk70vyhxquw0gws0zquam80f66sae	lava@12yevt5a2cdk70vyhxquw0gws0zquam80f66sae	100000000000 <ulava>	1729029408	false
lava@12ym9jy70njws4ky42jefetsreezq4p2ancd5ks	lava@12ym9jy70njws4ky42jefetsreezq4p2ancd5ks	250000000000 <ulava>	1729029408	true
lava@1330e5nerww5202kpfnuxurrzfz823498rm8uwl	lava@1330e5nerww5202kpfnuxurrzfz823498rm8uwl	50000000001 <ulava>	1729029408	true
lava@136r0tj6uzfq9hlnemng8gzz8qmhddahx9t4azp	lava@136r0tj6uzfq9hlnemng8gzz8qmhddahx9t4azp	200000000000 <ulava>	1729029408	true
lava@13fs6xn0qhhzrxxlkqtvc3zxs5wefeza2rkrvff	lava@13fs6xn0qhhzrxxlkqtvc3zxs5wefeza2rkrvff	197010000001 <ulava>	1729029408	false
lava@13guqvt530mglpmrkq72w89l8xxxhk4gtnqdu5n	lava@13guqvt530mglpmrkq72w89l8xxxhk4gtnqdu5n	100000000000 <ulava>	1729029408	true
lava@13hnttwe0h2hhawjsqnqyggvg96t24nlcw7k6mg	lava@13hnttwe0h2hhawjsqnqyggvg96t24nlcw7k6mg	700000000000 <ulava>	1729029408	true
lava@13hnttwe0h2hhawjsqnqyggvg96t24nlcw7k6mg	lava@1kcwtf6nke9dzq8vnk6d3fdznqg2ygyzw4sm0m3	123 <ulava>	1729029408	false
lava@13j4r22xd0tegzagwhx39ptzxpzlvgyv7ykgrvw	lava@13j4r22xd0tegzagwhx39ptzxpzlvgyv7ykgrvw	200000000000 <ulava>	1729029408	true
lava@13j4r22xd0tegzagwhx39ptzxpzlvgyv7ykgrvw	lava@15vm708hljrcxr4qtzrflwxvwzy402uma5dhdwl	1000000 <ulava>	1729029408	false
lava@13j4r22xd0tegzagwhx39ptzxpzlvgyv7ykgrvw	lava@1upqj0sdq6wmwrgctsaxmcuk2uulqlf36zgmsy4	1 <ulava>	1729029408	false
lava@13j4r22xd0tegzagwhx39ptzxpzlvgyv7ykgrvw	lava@1wzgrn2puav465t3x0stnx24hxt7f3tzlumq79h	1000000 <ulava>	1729029408	false
lava@13m2czkq06aaqz7sk8p258np27tjyqkk5uma70d	lava@13m2czkq06aaqz7sk8p258np27tjyqkk5uma70d	49751990001 <ulava>	1729029408	false
lava@13mgzww49k9hechvnh9k6gdysrsg8fudn3uuzeu	lava@13mgzww49k9hechvnh9k6gdysrsg8fudn3uuzeu	351466686667 <ulava>	1729029408	true
lava@13mmqeu332calsmzwzcvhjedx4mdmywurydmrd4	lava@13mmqeu332calsmzwzcvhjedx4mdmywurydmrd4	250000000000 <ulava>	1729029408	true
lava@13p954j5d4rrrvvcxty30wgc3vggv2agztqgt8s	lava@13p954j5d4rrrvvcxty30wgc3vggv2agztqgt8s	48272375251 <ulava>	1729029408	false
lava@14csezqjugs9ev4usavkqsyaagqxmrqqkg9jas2	lava@14csezqjugs9ev4usavkqsyaagqxmrqqkg9jas2	298501990086 <ulava>	1729029408	false
lava@14hvvs4m80qtselug5yj3prqqqmussthszapyah	lava@14hvvs4m80qtselug5yj3prqqqmussthszapyah	150000000000 <ulava>	1729029408	true
lava@14nhztjn6wfxsnhmkrmzrvjaprnllrwrta44yg0	lava@14nhztjn6wfxsnhmkrmzrvjaprnllrwrta44yg0	100000000000 <ulava>	1729029408	true
lava@14re6u3zd4xsgaytsxanwe7pvafu40evla2huht	lava@14re6u3zd4xsgaytsxanwe7pvafu40evla2huht	97519950001 <ulava>	1729029408	false
lava@14shwrej05nrraem8mwsnlw50vrtefkajar75ge	lava@14shwrej05nrraem8mwsnlw50vrtefkajar75ge	49759950006 <ulava>	1729029408	false
lava@14zlug6ld6z8akaxg5qw2a2ukw8dhuyn2a88exe	lava@14zlug6ld6z8akaxg5qw2a2ukw8dhuyn2a88exe	297042773616 <ulava>	1729029408	false
lava@1503xfp2kk4fwlmkxj3uugk225puxxgmng6y79c	lava@1503xfp2kk4fwlmkxj3uugk225puxxgmng6y79c	420049999906 <ulava>	1729029408	true
lava@152tcj6fa0lmswr98emn6l9w0jqumg3pqy6nk3e	lava@152tcj6fa0lmswr98emn6l9w0jqumg3pqy6nk3e	49750010007 <ulava>	1729029408	false
lava@1560a34quuvukulp5wqrhc8gvpcyn9rlr3w0ta2	lava@1560a34quuvukulp5wqrhc8gvpcyn9rlr3w0ta2	190198009985 <ulava>	1729029408	false
lava@156fgj3h3mgqsv6ytgrprz0u54vat2esjvlsjdj	lava@156fgj3h3mgqsv6ytgrprz0u54vat2esjvlsjdj	300000000000 <ulava>	1729029408	true
lava@15ckz2agj7pqe62hrrcsmytf93warc7ehy4sqd9	lava@15ckz2agj7pqe62hrrcsmytf93warc7ehy4sqd9	96059601004 <ulava>	1729029408	false
lava@15ha7mjg4vqsmxsvgsu4xaxe52tufxf9km4kj7a	lava@15ha7mjg4vqsmxsvgsu4xaxe52tufxf9km4kj7a	300000000000 <ulava>	1729029408	true
lava@15t7agz3g5n73rqhaxfugntk7j9pqhmgf9ylv3g	lava@15t7agz3g5n73rqhaxfugntk7j9pqhmgf9ylv3g	500000000000 <ulava>	1729029408	true
lava@15tjvzxp5ncycjplu80valk7aadhhse23cxhruh	lava@15tjvzxp5ncycjplu80valk7aadhhse23cxhruh	150000000000 <ulava>	1729029408	true
lava@15xzqj6wrqh35lza60qfu6hx7f9w66lf8963a45	lava@15xzqj6wrqh35lza60qfu6hx7f9w66lf8963a45	100000000000 <ulava>	1729029408	false
lava@163qw77zapfu5zvs0tfkalclajdnz2nvg4fj2w6	lava@163qw77zapfu5zvs0tfkalclajdnz2nvg4fj2w6	50000000000 <ulava>	1729029408	true
lava@169y7e47zxul8hzqwf43q4257c6sqdjn29rqnwk	lava@169y7e47zxul8hzqwf43q4257c6sqdjn29rqnwk	550000000000 <ulava>	1729029408	true
lava@16g7cdvjl8x63rl33dq978wz2h6ghp2ezmepu7k	lava@16g7cdvjl8x63rl33dq978wz2h6ghp2ezmepu7k	350000000000 <ulava>	1729029408	true
lava@16j79xcapdkns6resr8h8x459c6jmpy0epczd07	lava@16j79xcapdkns6resr8h8x459c6jmpy0epczd07	50000000000 <ulava>	1729029408	true
lava@16nlhu25jy5xwyjrakq9n4xg6ncp9m8cxknuahd	lava@16nlhu25jy5xwyjrakq9n4xg6ncp9m8cxknuahd	154726803201 <ulava>	1729029408	false
lava@16sjcq8ae2pgzw80hcdry89edf3hu0tyk26dwye	lava@16sjcq8ae2pgzw80hcdry89edf3hu0tyk26dwye	300000000000 <ulava>	1729029408	true
lava@16v2dahsks83a8yudf6zcw3yxpxvf86u4f574hq	lava@16v2dahsks83a8yudf6zcw3yxpxvf86u4f574hq	500000000000 <ulava>	1729029408	false
lava@16zu4n8ndxallq6nnh3j5q4lerygst58dvmv2gu	lava@16zu4n8ndxallq6nnh3j5q4lerygst58dvmv2gu	400000000000 <ulava>	1729029408	true
lava@173sz4apmlk368nczjgeyj9e3kva0xw8ngrtsyk	lava@173sz4apmlk368nczjgeyj9e3kva0xw8ngrtsyk	150000000000 <ulava>	1729029408	false
lava@17g24ugjd7qalcxl6we8k6ffe5c7j0t0qpjg32z	lava@17g24ugjd7qalcxl6we8k6ffe5c7j0t0qpjg32z	300000000000 <ulava>	1729029408	true
lava@17h4xjaj9s68fdgqf03yge6xhjx0khrshq7vx64	lava@17h4xjaj9s68fdgqf03yge6xhjx0khrshq7vx64	50000000000 <ulava>	1729029408	true
lava@17njg8ppajfw5h8u4h9aucgp6fsgk8lhe7glylz	lava@17njg8ppajfw5h8u4h9aucgp6fsgk8lhe7glylz	199620086630 <ulava>	1729029408	true
lava@17u2dgqu2mx9v78xf5lk6fgrxdyhdx2g82zs2kg	lava@17u2dgqu2mx9v78xf5lk6fgrxdyhdx2g82zs2kg	700000000000 <ulava>	1729029408	true
lava@17u2dgqu2mx9v78xf5lk6fgrxdyhdx2g82zs2kg	lava@1kcwtf6nke9dzq8vnk6d3fdznqg2ygyzw4sm0m3	3 <ulava>	1729029408	false
lava@17uxsamdjjuu6xphe4gws9883w3s6az4cv8pev3	lava@17uxsamdjjuu6xphe4gws9883w3s6az4cv8pev3	46841003068 <ulava>	1729029408	false
lava@189z0ldmamfcz4m68us5aak3d4pt0srtv36zsju	lava@189z0ldmamfcz4m68us5aak3d4pt0srtv36zsju	99501091001 <ulava>	1729029408	false
lava@18fgqsc9qfcy5z77zg25l3wdel74wymqwe9hvdp	lava@18fgqsc9qfcy5z77zg25l3wdel74wymqwe9hvdp	240149002504 <ulava>	1729029408	false
lava@18h4j83ffscrxefs9jc2vknktujp78rtk4fs98x	lava@18h4j83ffscrxefs9jc2vknktujp78rtk4fs98x	49750002780 <ulava>	1729029408	false
lava@18pq8e8h7mmkegcns8dqhrp7fwz0fvc58j49fgc	lava@18pq8e8h7mmkegcns8dqhrp7fwz0fvc58j49fgc	50000000000 <ulava>	1729029408	true
lava@18r4c2hv3nn04p4numl9mrqxxlcvjmef8n7nna0	lava@18r4c2hv3nn04p4numl9mrqxxlcvjmef8n7nna0	51000000000 <ulava>	1729029408	true
lava@18rtt3ka0jc85qvvcnct0t7ayq6fva7692k9kvh	lava@18rtt3ka0jc85qvvcnct0t7ayq6fva7692k9kvh	400000000001 <ulava>	1729029408	true
lava@18rtt3ka0jc85qvvcnct0t7ayq6fva7692k9kvh	lava@1htdatr29tx744jpy3wk5mavyxdtkkag0ukdv53	1297000 <ulava>	1729029408	false
lava@18rtt3ka0jc85qvvcnct0t7ayq6fva7692k9kvh	lava@1sj94fnaesp6f442dppt5cdrnz3ngv5u3vrn0qm	102066879 <ulava>	1729029408	false
lava@18ruhq2qtz6frnuvz2vtqyg9krnf44dssgjg7rq	lava@18ruhq2qtz6frnuvz2vtqyg9krnf44dssgjg7rq	150000000000 <ulava>	1729029408	false
lava@18smp44ekxe5gnz6zhrqrh9v78squsjmafjxwzn	lava@18smp44ekxe5gnz6zhrqrh9v78squsjmafjxwzn	100000000000 <ulava>	1729029408	false
lava@18tdn02v8mkarhpqa804vfnnyam7wcxlyvlt28l	lava@18tdn02v8mkarhpqa804vfnnyam7wcxlyvlt28l	100000000000 <ulava>	1729029408	true
lava@18uffx8nfxyx7ltnl7z3qz3qlwugzk5fy07chnn	lava@18uffx8nfxyx7ltnl7z3qz3qlwugzk5fy07chnn	100000000000 <ulava>	1729029408	false
lava@18x230ncterwqxetsx0f9uyj86e477hsrxvrmpn	lava@18x230ncterwqxetsx0f9uyj86e477hsrxvrmpn	2000100000002 <ulava>	1729029408	true
lava@193gxxzmyzrw8cl4rdrdza0tewep709rw63y9ct	lava@193gxxzmyzrw8cl4rdrdza0tewep709rw63y9ct	200000000001 <ulava>	1729029408	true
lava@199g55v48g4zgy8phd6d4pllcamyhjaey8qdd7d	lava@199g55v48g4zgy8phd6d4pllcamyhjaey8qdd7d	95099004995 <ulava>	1729029408	false
lava@19n7qv4kw3qkzzz88knlak8qr2v7dz2zf9s3l93	lava@19n7qv4kw3qkzzz88knlak8qr2v7dz2zf9s3l93	500002000000 <ulava>	1729029408	true
lava@19qah68jytdcnq6j574khy3pawnnsa8aks9xt8a	lava@19qah68jytdcnq6j574khy3pawnnsa8aks9xt8a	149250000000 <ulava>	1729029408	false
lava@1a2tmjveey5960yc6pn90dqflwr8f5lqfj7ny53	lava@1a2tmjveey5960yc6pn90dqflwr8f5lqfj7ny53	200000000000 <ulava>	1729029408	true
lava@1a7kvzj3navd3vkp3j4wrd7n9hs3hxg2f7vepjx	lava@1a7kvzj3navd3vkp3j4wrd7n9hs3hxg2f7vepjx	50000000000 <ulava>	1729029408	false
lava@1adhfncvk9xrm377t2d29kf3ky60y42pqtqxef6	lava@1adhfncvk9xrm377t2d29kf3ky60y42pqtqxef6	190198009985 <ulava>	1729029408	false
lava@1ap2rdg8u6ku0m5vesr6kefkgvfz3fg0jg66plt	lava@1ap2rdg8u6ku0m5vesr6kefkgvfz3fg0jg66plt	400000000000 <ulava>	1729029408	true
lava@1as7z9wm7ru4txqsvzscafm4z5492lekqjkdugj	lava@1as7z9wm7ru4txqsvzscafm4z5492lekqjkdugj	148892383551 <ulava>	1729029408	false
lava@1awymgpc908543xn40vjmdpa503yvszxhvut3np	lava@1awymgpc908543xn40vjmdpa503yvszxhvut3np	240198009984 <ulava>	1729029408	false
lava@1cdqlcc4d097sdc5dhvggn6w4s2er297lrsv03v	lava@1cdqlcc4d097sdc5dhvggn6w4s2er297lrsv03v	300000000001 <ulava>	1729029408	true
lava@1cy2wd6ffpxspc7q7qdmehkr0p28qd4rhwjl86y	lava@1cy2wd6ffpxspc7q7qdmehkr0p28qd4rhwjl86y	200000000000 <ulava>	1729029408	true
lava@1czgrha7ys2698xve2gz4xaccteplrzx8s9fh7e	lava@1czgrha7ys2698xve2gz4xaccteplrzx8s9fh7e	3686687507334 <ulava>	1729029408	true
lava@1d4cj7dx4v6yywsevq44e7us06hdkh8nstjrvw3	lava@1d4cj7dx4v6yywsevq44e7us06hdkh8nstjrvw3	50000000001 <ulava>	1729029408	true
lava@1d6u6edxsrg4qvxnnjr8ht29nnffrusanyleavp	lava@1d6u6edxsrg4qvxnnjr8ht29nnffrusanyleavp	648786029598 <ulava>	1729029408	true
lava@1d9pu42vqlzsrec2s7hq5wurmgr85gcu2rhaqvm	lava@1d9pu42vqlzsrec2s7hq5wurmgr85gcu2rhaqvm	100000000000 <ulava>	1729029408	false
lava@1dh6nw4mr2ns9cv2k88c5dgns5sqn2vje3tddpl	lava@1dh6nw4mr2ns9cv2k88c5dgns5sqn2vje3tddpl	99048029801 <ulava>	1729029408	true
lava@1dk9xsszd632m3tuh5vqqdhhejy3w8sdnjkvkff	lava@1dk9xsszd632m3tuh5vqqdhhejy3w8sdnjkvkff	60000000000 <ulava>	1729029408	true
lava@1dn5duttgdwu5l7nmhn7jnmpkk348k6t2r58mnp	lava@1dn5duttgdwu5l7nmhn7jnmpkk348k6t2r58mnp	250000000000 <ulava>	1729029408	true
lava@1dxnj6j0ldd6ayql3t8clldlnserp55y6veh34f	lava@1dxnj6j0ldd6ayql3t8clldlnserp55y6veh34f	350000000001 <ulava>	1729029408	false
lava@1e8fz22klkvgd6treqml3twvzk8wlle0tq9zn9r	lava@1e8fz22klkvgd6treqml3twvzk8wlle0tq9zn9r	300000000000 <ulava>	1729029408	true
lava@1ecnal2n43jqf8c24jwqkl70sve4f5927wr48zt	lava@1ecnal2n43jqf8c24jwqkl70sve4f5927wr48zt	1097852312111 <ulava>	1729029408	true
lava@1enpsfulwg5flfusyp44hshm49rk8vv688grglu	lava@1enpsfulwg5flfusyp44hshm49rk8vv688grglu	100000000000 <ulava>	1729029408	true
lava@1ep8a2k9cpvkzehm7gshyaz900nn35syk9stlhf	lava@1ep8a2k9cpvkzehm7gshyaz900nn35syk9stlhf	550000000001 <ulava>	1729029408	true
lava@1epfpps784d9dqtt8v9870xn88wp40v2wetwmtk	lava@1epfpps784d9dqtt8v9870xn88wp40v2wetwmtk	148500990000 <ulava>	1729029408	false
lava@1etx55kw7tkmnjqz0k0mups4ewxlr324tddz2et	lava@1etx55kw7tkmnjqz0k0mups4ewxlr324tddz2et	360000000000 <ulava>	1729029408	true
lava@1ewft09x49rgezsk7hpw23gx2r9dw8gkaaj2l33	lava@1ewft09x49rgezsk7hpw23gx2r9dw8gkaaj2l33	297007580020 <ulava>	1729029408	false
lava@1f46decqyj87vhhddya98s9237qm5dp84vp7547	lava@1f46decqyj87vhhddya98s9237qm5dp84vp7547	95099004995 <ulava>	1729029408	false
lava@1f47c8hf92ncu6qdug88n7yz2a8rcnl6gamvv4e	lava@1f47c8hf92ncu6qdug88n7yz2a8rcnl6gamvv4e	50000000001 <ulava>	1729029408	true
lava@1f8kg6htavv67x4e54j6zvlg6pwzcsg52k3wu80	lava@1f8kg6htavv67x4e54j6zvlg6pwzcsg52k3wu80	11056679220361 <ulava>	1729029408	true
lava@1f8pwcdpdvgthtyj3r0ppmpxmjwuwdt3z958csw	lava@1f8pwcdpdvgthtyj3r0ppmpxmjwuwdt3z958csw	400000000000 <ulava>	1729029408	true
lava@1fe56h78d59e5e6qyeq8ak0svyej44s77dnmqwn	lava@1l57uxerrqsclr2y6srzv8e3y5tcrlyjpvaldpp	50000000000 <ulava>	1729029408	true
lava@1fpprhv40h9z058ez0hxdattjvg0fjsrhkqc7cu	lava@1fpprhv40h9z058ez0hxdattjvg0fjsrhkqc7cu	150000000000 <ulava>	1729029408	true
lava@1fpprhv40h9z058ez0hxdattjvg0fjsrhkqc7cu	lava@1tfvsp2s3y30rjdt09k0zw98fuk3ec72lmaf8af	1 <ulava>	1729029408	false
lava@1fqvd4c57775n6y8n9rjl3supyva4cvvf88grd2	lava@1fqvd4c57775n6y8n9rjl3supyva4cvvf88grd2	240198009984 <ulava>	1729029408	false
lava@1fveg058jn6e7r7vval9xrjuf0tysv25qcl05ad	lava@1fveg058jn6e7r7vval9xrjuf0tysv25qcl05ad	499200000000 <ulava>	1729029408	true
lava@1fy86wc3muclz2lut4yvfqvr26007gyc8k8y5wn	lava@1fy86wc3muclz2lut4yvfqvr26007gyc8k8y5wn	200000000000 <ulava>	1729029408	true
lava@1g2sx0ksn9vgq25dpe6y9jk25yxmq8ur7v25jya	lava@1g2sx0ksn9vgq25dpe6y9jk25yxmq8ur7v25jya	149987750000 <ulava>	1729029408	false
lava@1g7xt4prpusv8kutejj5rntg338q7s5uehaplcs	lava@1g7xt4prpusv8kutejj5rntg338q7s5uehaplcs	200000000000 <ulava>	1729029408	true
lava@1gecluvarve3zyf3gu7y8p6yz7lrskapnvs9et8	lava@1gecluvarve3zyf3gu7y8p6yz7lrskapnvs9et8	96544750502 <ulava>	1729029408	false
lava@1ggcyk4wrlluh42dmak4s2c489ldkx8zaahde84	lava@1ggcyk4wrlluh42dmak4s2c489ldkx8zaahde84	100000000000 <ulava>	1729029408	true
lava@1glce8f9d0w8th7pe9u03hqh729azht4vvygz8g	lava@1glce8f9d0w8th7pe9u03hqh729azht4vvygz8g	50000000001 <ulava>	1729029408	true
lava@1gnkhmyhfd4vf03zwwczw2j4wmpckq5wgv2eugv	lava@1gnkhmyhfd4vf03zwwczw2j4wmpckq5wgv2eugv	300019610678 <ulava>	1729029408	true
lava@1gpl2h7wwnwmzcxmlmg95rn2pr2m6epddg0ede4	lava@1gpl2h7wwnwmzcxmlmg95rn2pr2m6epddg0ede4	50600000000 <ulava>	1729029408	false
lava@1gpl2h7wwnwmzcxmlmg95rn2pr2m6epddg0ede4	lava@1rgs6cp3vleue3vwffrvttjtl4laqhk8fthu466	300000000000 <ulava>	1729029408	true
lava@1gpll254uayt3nj8me47jlhknu9ndhwpsslu6xg	lava@1gpll254uayt3nj8me47jlhknu9ndhwpsslu6xg	300000000000 <ulava>	1729029408	true
lava@1gvd87r96a5hqqxqsap3jlzxu6gvwd3nqt03spr	lava@1gvd87r96a5hqqxqsap3jlzxu6gvwd3nqt03spr	308420380000 <ulava>	1729029408	false
lava@1hf37q65yfp6x56kxay4zzehvw3ujjfk3k4pj8m	lava@1hf37q65yfp6x56kxay4zzehvw3ujjfk3k4pj8m	50000000000 <ulava>	1729029408	true
lava@1hlmuhadpv0l0vezmudkmuhhd23w9jwj35lahqs	lava@1hlmuhadpv0l0vezmudkmuhhd23w9jwj35lahqs	142648507490 <ulava>	1729029408	false
lava@1hp86nd7nrw50fmf6gtyfc5kcnwg9mppz6cpdh4	lava@1hp86nd7nrw50fmf6gtyfc5kcnwg9mppz6cpdh4	192198009984 <ulava>	1729029408	false
lava@1hqvhnleqfswykeyq85nurwz63rh0tzu3qae3hv	lava@1hqvhnleqfswykeyq85nurwz63rh0tzu3qae3hv	50000000000 <ulava>	1729711663	false
lava@1hrk8fvf4c037geylfk2hnqahq7h29m4mxsfwwy	lava@1hrk8fvf4c037geylfk2hnqahq7h29m4mxsfwwy	95099004995 <ulava>	1729029408	false
lava@1hurmps5tpm0f9ay9j3zl00h3e4kwfd605snv38	lava@1hurmps5tpm0f9ay9j3zl00h3e4kwfd605snv38	47549502500 <ulava>	1729029408	false
lava@1hwcghtxz30n8dvg5z9pdvkuqw4e5n9yylyamm9	lava@1hwcghtxz30n8dvg5z9pdvkuqw4e5n9yylyamm9	149000025000 <ulava>	1729029408	true
lava@1hwuvf3z85yg5n3w9ha8x8lfxaapp6qyjeywprd	lava@1hwuvf3z85yg5n3w9ha8x8lfxaapp6qyjeywprd	2000100000002 <ulava>	1729029408	true
lava@1hxqvhdw2heztkwyhv3q82k5tdjdx9ypkdv63vt	lava@1hxqvhdw2heztkwyhv3q82k5tdjdx9ypkdv63vt	96544750502 <ulava>	1729029408	false
lava@1hxsdtamdhlv28tpvtjhqxc5f20u7uprcq95pmw	lava@1hxsdtamdhlv28tpvtjhqxc5f20u7uprcq95pmw	50004985001 <ulava>	1729029408	false
